"07938: Personer med helse- og sosialfaglig utdanning. 4. kvartal, etter statistikkvariabel, fagutdanning, alder, kjønn og år"

"statistikkvariabel";"fagutdanning";"alder";"kjønn";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Personer";"Barne- og ungdomsarbeidere";"15-74 år";"Kvinner";14306;15301;16571;17929;19452;20963;22453;24550;26866;29188;31410;33692;36127;38026;39950;41620
"Personer";"Barne- og ungdomsarbeidere";"15-74 år";"Menn";929;1070;1192;1323;1475;1638;1819;2067;2381;2720;3104;3505;4007;4489;5053;5544
"Personer";"Barne- og ungdomsarbeidere";"40-54 år";"Kvinner";4434;4761;5197;5638;6192;6644;7096;7829;8674;9594;10798;11900;13099;13829;14621;15112
"Personer";"Barne- og ungdomsarbeidere";"40-54 år";"Menn";238;302;341;388;434;490;536;597;681;765;896;1011;1162;1292;1462;1586
"Personer";"Barne- og ungdomsarbeidere";"55-66 år";"Kvinner";1352;1618;1915;2251;2591;3007;3415;3881;4402;4869;5384;5881;6395;6968;7449;7962
"Personer";"Barne- og ungdomsarbeidere";"55-66 år";"Menn";43;48;64;82;95;109;131;157;183;226;257;301;341;396;446;500
"Personer";"Tannhelsesekretær";"Alle aldre";"Kvinner";6006;6122;6227;6342;6440;6524;6667;6790;6954;7058;7203;7365;7563;7683;7845;8036
"Personer";"Tannhelsesekretær";"Alle aldre";"Menn";20;23;25;26;31;33;34;40;41;48;57;65;80;87;87;98
"Personer";"Tannhelsesekretær";"15-39 år";"Kvinner";1788;1744;1674;1620;1589;1560;1556;1589;1637;1688;1751;1787;1871;1848;1941;1983
"Personer";"Tannhelsesekretær";"15-39 år";"Menn";15;18;18;19;24;26;27;31;34;38;45;49;62;69;66;75
"Personer";"Tannhelsesekretær";"15-66 år";"Kvinner";5779;5841;5866;5910;5920;5899;5928;5941;6004;6002;6048;6084;6138;6093;6169;6199
"Personer";"Tannhelsesekretær";"15-66 år";"Menn";20;23;25;26;31;32;33;40;41;48;57;62;80;84;87;98
"Personer";"Tannhelsesekretær";"15-74 år";"Kvinner";5972;6082;6181;6290;6372;6435;6554;6641;6763;6823;6899;6989;7109;7134;7267;7372
"Personer";"Tannhelsesekretær";"15-74 år";"Menn";20;23;25;26;31;33;34;40;41;48;57;65;80;84;87;98
"Personer";"Tannhelsesekretær";"40-54 år";"Kvinner";2648;2624;2618;2600;2528;2466;2427;2352;2332;2205;2133;2118;2061;2068;2070;2062
"Personer";"Tannhelsesekretær";"40-54 år";"Menn";4;4;6;5;5;5;5;6;4;7;9;10;15;15;18;20
"Personer";"Tannhelsesekretær";"55-66 år";"Kvinner";1343;1473;1574;1690;1803;1873;1945;2000;2035;2109;2164;2179;2206;2177;2158;2154
"Personer";"Tannhelsesekretær";"55-66 år";"Menn";..;..;..;..;..;..;..;3;3;3;3;3;3;0;3;3
"Personer";"Aktivitør";"Alle aldre";"Kvinner";5175;5169;5168;5153;5142;5112;5098;5080;5048;5018;4900;4887;4853;4800;4749;4714
"Personer";"Aktivitør";"Alle aldre";"Menn";90;90;94;94;92;96;98;98;100;97;98;98;99;97;96;96
"Personer";"Aktivitør";"15-39 år";"Kvinner";1500;1392;1285;1201;1111;1001;905;835;778;720;578;482;387;327;271;232
"Personer";"Aktivitør";"15-39 år";"Menn";33;28;30;28;27;29;24;24;22;16;16;16;16;15;14;12
"Personer";"Aktivitør";"15-66 år";"Kvinner";4930;4898;4859;4785;4708;4608;4515;4421;4308;4200;3992;3831;3653;3459;3246;3059
"Personer";"Aktivitør";"15-66 år";"Menn";88;88;92;92;90;93;94;94;92;88;89;86;86;84;81;75
"Personer";"Aktivitør";"15-74 år";"Kvinner";5100;5089;5080;5052;5026;4985;4959;4920;4866;4816;4666;4574;4479;4369;4252;4155
"Personer";"Aktivitør";"15-74 år";"Menn";89;89;92;92;90;94;96;98;100;97;98;98;99;97;96;92
"Personer";"Aktivitør";"40-54 år";"Kvinner";2309;2234;2165;2069;1988;1901;1825;1729;1650;1551;1492;1451;1408;1340;1274;1215
"Personer";"Aktivitør";"40-54 år";"Menn";40;44;42;38;34;36;39;39;41;41;38;34;33;31;30;31
"Personer";"Aktivitør";"55-66 år";"Kvinner";1121;1272;1409;1515;1609;1706;1785;1857;1880;1929;1922;1898;1858;1792;1701;1612
"Personer";"Aktivitør";"55-66 år";"Menn";15;16;20;26;29;28;31;31;29;31;35;36;37;38;37;32
"Personer";"Annen videregående helseutdanning";"Alle aldre";"Kvinner";3035;4222;4815;5816;6881;7570;7923;11093;10914;12413;13565;14289;15307;16114;16897;17942
"Personer";"Annen videregående helseutdanning";"Alle aldre";"Menn";3103;3327;3518;3685;3903;4070;4238;5032;5155;5345;5562;5861;6322;6583;6413;6529
"Personer";"Annen videregående helseutdanning";"15-39 år";"Kvinner";1113;2917;3373;4191;5084;5675;5985;6288;5937;6465;7028;7385;7794;8283;8655;9249
"Personer";"Annen videregående helseutdanning";"15-39 år";"Menn";1201;1310;1365;1365;1426;1458;1513;1795;1776;1784;1853;1966;2186;2301;2197;2196
"Personer";"Annen videregående helseutdanning";"15-66 år";"Kvinner";2969;4168;4755;5749;6812;7490;7831;10184;9884;11245;12289;12973;13881;14587;15250;16188
"Personer";"Annen videregående helseutdanning";"15-66 år";"Menn";3007;3224;3400;3547;3735;3873;4011;4736;4820;4973;5134;5389;5796;6017;5849;5913
"Personer";"Annen videregående helseutdanning";"15-74 år";"Kvinner";3016;4205;4794;5796;6862;7553;7904;10862;10641;12085;13180;13898;14835;15548;16210;17171
"Personer";"Annen videregående helseutdanning";"15-74 år";"Menn";3066;3290;3480;3647;3866;4028;4194;4966;5085;5273;5475;5753;6179;6418;6234;6333
"Personer";"Annen videregående helseutdanning";"40-54 år";"Kvinner";1093;837;943;1098;1221;1304;1299;2321;2367;3162;3504;3716;4102;4244;4453;4690
"Personer";"Annen videregående helseutdanning";"40-54 år";"Menn";1331;1407;1472;1584;1646;1690;1733;2030;2066;2164;2187;2231;2297;2295;2228;2192
"Personer";"Annen videregående helseutdanning";"55-66 år";"Kvinner";763;414;439;460;507;511;547;1575;1580;1618;1757;1872;1985;2060;2142;2249
"Personer";"Annen videregående helseutdanning";"55-66 år";"Menn";475;507;563;598;663;725;765;911;978;1025;1094;1192;1313;1421;1424;1525
"Personer";"Ergoterapeut";"Alle aldre";"Kvinner";3715;3851;3988;4155;4304;4463;4658;4802;4956;5147;5322;5549;5738;5923;6124;6303
"Personer";"Ergoterapeut";"Alle aldre";"Menn";399;425;455;485;516;543;568;599;641;675;725;768;824;878;928;984
"Personer";"Ergoterapeut";"15-39 år";"Kvinner";1852;1900;1949;2005;2050;2095;2153;2192;2236;2297;2346;2387;2401;2435;2470;2534
"Personer";"Ergoterapeut";"15-39 år";"Menn";262;274;292;306;311;321;330;338;364;369;406;425;462;481;512;543
"Personer";"Ergoterapeut";"15-66 år";"Kvinner";3565;3694;3799;3929;4046;4172;4325;4438;4555;4706;4834;4987;5111;5230;5356;5474
"Personer";"Ergoterapeut";"15-66 år";"Menn";388;413;444;476;507;534;559;591;631;663;713;751;805;855;901;951
"Personer";"Ergoterapeut";"15-74 år";"Kvinner";3662;3790;3923;4080;4227;4384;4560;4696;4850;5032;5181;5355;5514;5667;5832;5986
"Personer";"Ergoterapeut";"15-74 år";"Menn";393;417;449;481;512;538;562;594;637;670;719;761;817;871;921;977
"Personer";"Ergoterapeut";"40-54 år";"Kvinner";1166;1188;1203;1241;1268;1326;1363;1393;1428;1486;1534;1618;1716;1796;1887;1944
"Personer";"Ergoterapeut";"40-54 år";"Menn";110;122;130;143;163;174;182;200;206;230;238;251;260;284;291;308
"Personer";"Ergoterapeut";"55-66 år";"Kvinner";547;606;647;683;728;751;809;853;891;923;954;982;994;999;999;996
"Personer";"Ergoterapeut";"55-66 år";"Menn";16;17;22;27;33;39;47;53;61;64;69;75;83;90;98;100
"Personer";"Fysioterapeut";"Alle aldre";"Kvinner";8807;9015;9294;9504;9754;10025;10296;10561;10789;11041;11187;11625;11899;12083;12257;12151
"Personer";"Fysioterapeut";"Alle aldre";"Menn";3347;3452;3569;3705;3821;3958;4126;4262;4382;4531;4634;4774;4950;5058;5151;4799
"Personer";"Fysioterapeut";"15-39 år";"Kvinner";3635;3729;3883;3947;4035;4146;4203;4249;4315;4332;4224;4177;4196;4157;4159;4058
"Personer";"Fysioterapeut";"15-39 år";"Menn";1540;1557;1559;1587;1609;1642;1684;1725;1747;1770;1774;1802;1867;1881;1916;1838
"Personer";"Fysioterapeut";"15-66 år";"Kvinner";7821;7982;8205;8347;8527;8704;8861;8990;9127;9258;9298;9401;9558;9635;9705;9491
"Personer";"Fysioterapeut";"15-66 år";"Menn";3245;3340;3440;3554;3650;3763;3883;3964;4034;4120;4149;4193;4298;4332;4361;3977
"Personer";"Fysioterapeut";"15-74 år";"Kvinner";8380;8587;8844;9036;9231;9501;9727;9934;10186;10383;10495;10639;10844;10939;11027;10823
"Personer";"Fysioterapeut";"15-74 år";"Menn";3314;3417;3536;3672;3781;3918;4081;4211;4328;4463;4544;4653;4821;4903;4939;4543
"Personer";"Fysioterapeut";"40-54 år";"Kvinner";2401;2400;2384;2406;2445;2507;2588;2680;2779;2932;3099;3302;3446;3576;3687;3638
"Personer";"Fysioterapeut";"40-54 år";"Menn";1055;1061;1113;1148;1163;1197;1254;1285;1338;1414;1482;1516;1585;1633;1651;1456
"Personer";"Fysioterapeut";"55-66 år";"Kvinner";1785;1853;1938;1994;2047;2051;2070;2061;2033;1994;1975;1922;1916;1902;1859;1795
"Personer";"Fysioterapeut";"55-66 år";"Menn";650;722;768;819;878;924;945;954;949;936;893;875;846;818;794;683
"Personer";"Helsesykepleier og jordmor";"Alle aldre";"Kvinner";8615;8908;9001;9401;9657;9905;10125;10371;10554;10761;10908;11518;11812;11982;12347;12533
"Personer";"Helsesykepleier og jordmor";"Alle aldre";"Menn";34;35;36;37;37;38;38;39;37;38;40;42;43;47;56;57
"Personer";"Helsesykepleier og jordmor";"15-39 år";"Kvinner";1285;1380;1374;1513;1571;1631;1605;1588;1598;1583;1563;1612;1749;1766;1914;1938
"Personer";"Helsesykepleier og jordmor";"15-39 år";"Menn";9;9;8;5;4;3;3;3;0;3;4;5;6;10;12;12
"Personer";"Helsesykepleier og jordmor";"15-66 år";"Kvinner";7079;7316;7336;7641;7793;7964;8082;8173;8286;8353;8404;8520;8656;8662;8818;8856
"Personer";"Helsesykepleier og jordmor";"15-66 år";"Menn";30;31;32;33;33;34;33;33;28;32;37;35;34;40;45;45
"Personer";"Helsesykepleier og jordmor";"15-74 år";"Kvinner";7872;8160;8232;8628;8850;9088;9291;9455;9639;9799;9886;10073;10272;10353;10626;10718
"Personer";"Helsesykepleier og jordmor";"15-74 år";"Menn";30;31;33;34;34;35;36;36;34;38;40;38;40;44;50;51
"Personer";"Helsesykepleier og jordmor";"40-54 år";"Kvinner";3457;3470;3344;3397;3406;3463;3529;3582;3625;3711;3740;3792;3805;3859;3956;3983
"Personer";"Helsesykepleier og jordmor";"40-54 år";"Menn";15;15;14;17;18;20;19;19;18;19;19;17;16;16;19;21
"Personer";"Helsesykepleier og jordmor";"55-66 år";"Kvinner";2337;2466;2618;2731;2816;2870;2948;3003;3063;3059;3101;3116;3102;3037;2948;2935
"Personer";"Helsesykepleier og jordmor";"55-66 år";"Menn";6;7;10;11;11;11;11;11;10;10;14;13;12;14;14;12
"Personer";"Radiograf";"Alle aldre";"Kvinner";2347;2447;2500;2617;2710;2788;2882;2970;3039;3146;3234;3378;3482;3597;3720;3825
"Personer";"Radiograf";"Alle aldre";"Menn";848;882;923;956;995;1034;1078;1108;1149;1181;1216;1255;1295;1333;1370;1409
"Personer";"Radiograf";"15-39 år";"Kvinner";1196;1202;1205;1270;1315;1335;1382;1406;1435;1470;1484;1510;1510;1504;1519;1524
"Personer";"Radiograf";"15-39 år";"Menn";424;416;417;426;444;454;469;468;466;464;466;475;479;493;497;505
"Personer";"Radiograf";"15-66 år";"Kvinner";2221;2322;2371;2485;2573;2640;2723;2793;2852;2950;3034;3114;3193;3283;3363;3430
"Personer";"Radiograf";"15-66 år";"Menn";845;879;919;951;986;1017;1054;1077;1114;1138;1159;1184;1213;1226;1241;1268
"Personer";"Radiograf";"15-74 år";"Kvinner";2265;2367;2422;2543;2639;2713;2815;2899;2981;3087;3175;3282;3382;3490;3596;3688
"Personer";"Radiograf";"15-74 år";"Menn";848;881;922;955;994;1032;1075;1105;1146;1178;1212;1250;1287;1317;1348;1381
"Personer";"Radiograf";"40-54 år";"Kvinner";772;842;856;871;873;898;912;928;932;955;999;1044;1108;1162;1203;1251
"Personer";"Radiograf";"40-54 år";"Menn";335;351;366;377;374;385;395;409;437;444;466;478;492;481;491;489
"Personer";"Radiograf";"55-66 år";"Kvinner";253;278;310;344;385;407;429;459;485;525;551;560;575;617;641;655
"Personer";"Radiograf";"55-66 år";"Menn";86;112;136;148;168;178;190;200;211;230;227;231;242;252;253;274
"Personer";"Sykepleier";"Alle aldre";"Kvinner";95827;98687;100619;102350;105017;107645;110463;113071;115450;118195;119465;124297;127078;130001;132821;135764
"Personer";"Sykepleier";"Alle aldre";"Menn";10326;10759;11055;11268;11588;11868;12305;12582;12960;13367;13527;14084;14530;15061;15577;16114
"Personer";"Sykepleier";"15-39 år";"Kvinner";35188;35742;36188;36306;36783;37132;37549;37905;38492;39302;39776;40661;41551;42475;43433;44660
"Personer";"Sykepleier";"15-39 år";"Menn";4204;4213;4180;4081;4058;3982;3958;3867;3936;4014;4020;4217;4412;4655;4876;5129
"Personer";"Sykepleier";"15-66 år";"Kvinner";85862;88385;89880;91112;93077;94927;96883;98478;100321;102162;102567;104480;105989;107531;108873;110321
"Personer";"Sykepleier";"15-66 år";"Menn";9998;10427;10698;10886;11166;11388;11787;11994;12280;12583;12626;12957;13216;13526;13828;14144
"Personer";"Sykepleier";"15-74 år";"Kvinner";91175;94004;95835;97441;99913;102339;104888;106901;109320;111766;112778;115304;117502;119680;121683;123934
"Personer";"Sykepleier";"15-74 år";"Menn";10181;10611;10910;11113;11428;11702;12134;12399;12771;13178;13321;13817;14232;14725;15238;15726
"Personer";"Sykepleier";"40-54 år";"Kvinner";34090;34776;34738;34756;35157;35744;36394;36838;37238;37487;37118;37362;37530;37896;38040;38009
"Personer";"Sykepleier";"40-54 år";"Menn";4429;4594;4635;4681;4742;4863;5085;5235;5315;5409;5396;5477;5496;5503;5550;5505
"Personer";"Sykepleier";"55-66 år";"Kvinner";16584;17867;18954;20050;21137;22051;22940;23735;24591;25373;25673;26457;26908;27160;27400;27652
"Personer";"Sykepleier";"55-66 år";"Menn";1365;1620;1883;2124;2366;2543;2744;2892;3029;3160;3210;3263;3308;3368;3402;3510
"Personer";"Vernepleier";"Alle aldre";"Kvinner";9832;10395;10981;11515;12067;12652;13282;13912;14609;15187;15806;16468;17183;17876;18588;19295
"Personer";"Vernepleier";"Alle aldre";"Menn";2624;2788;2918;3026;3181;3337;3487;3633;3784;3948;4139;4323;4534;4733;4948;5149
"Personer";"Vernepleier";"15-39 år";"Kvinner";4945;5048;5201;5301;5387;5511;5655;5835;5966;6099;6223;6373;6580;6839;7099;7398
"Personer";"Vernepleier";"15-39 år";"Menn";1093;1123;1136;1104;1124;1152;1172;1200;1232;1280;1341;1388;1458;1545;1652;1723
"Personer";"Vernepleier";"15-66 år";"Kvinner";9692;10239;10791;11294;11805;12336;12902;13456;14069;14539;15055;15558;16121;16645;17169;17676
"Personer";"Vernepleier";"15-66 år";"Menn";2576;2737;2863;2961;3109;3254;3387;3517;3628;3755;3896;4030;4182;4316;4461;4608
"Personer";"Vernepleier";"15-74 år";"Kvinner";9797;10353;10937;11463;12007;12581;13198;13811;14501;15067;15657;16282;16958;17602;18262;18908
"Personer";"Vernepleier";"15-74 år";"Menn";2609;2768;2898;3000;3154;3311;3458;3605;3755;3918;4109;4287;4490;4682;4875;5059
"Personer";"Vernepleier";"40-54 år";"Kvinner";3702;3984;4214;4423;4681;4897;5102;5310;5585;5761;5968;6162;6348;6456;6561;6568
"Personer";"Vernepleier";"40-54 år";"Menn";1114;1178;1219;1299;1370;1435;1506;1557;1610;1667;1729;1784;1815;1845;1835;1846
"Personer";"Vernepleier";"55-66 år";"Kvinner";1045;1207;1376;1570;1737;1928;2145;2311;2518;2679;2864;3023;3193;3350;3509;3710
"Personer";"Vernepleier";"55-66 år";"Menn";369;436;508;558;615;667;709;760;786;808;826;858;909;926;974;1039
